Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Chartres; 4; Tente; Babysitting; ; Wifi; Transfert possible; Demi-pension; 24/6/2024; 31/6/2024; -99; 13; 1; 12
Berlin; 5; Chambre; Bricolage; ; Parking; Transfert possible; Pension complète; 27/10/2022; 28/10/2022; -99; 42; 1; 13
Marseille; 2; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 16/6/2023; 17/6/2023; -99; 58; 3; 14
Berlin; 5; Chambre; Jardinage, Babysitting; ; Parking; Pas de transfert; Pension complète; 13/10/2024; 18/10/2024; -99; 28; 2; 15
Avignon; 3; Cabane dans un arbre; Promener les chiens, Babysitting; ; Piscine, Blanchissage; Transfert possible; Pension complète; 14/3/2023; 27/3/2023; -99; 46; 2; 16
Berlin; 5; Cabane dans un arbre; Babysitting, Bricolage; Non fumeur; Blanchissage, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 11/9/2024; 12/9/2024; -99; 84; 1; 17
Toulouse; 5; Cabane dans un arbre; Promener les chiens; Pas d animaux, Non fumeur; Parking, Balade à cheval, Wifi; Transfert possible; Pension complète; 18/10/2023; 27/10/2023; -99; 16; 3; 18
Seville; 6; Tente; Promener les chiens; ; Parking, Balade à cheval; Transfert possible; Petit déjeuner; 30/6/2022; 31/7/2022; -99; 44; 1; 19
Seville; 2; Tente; Jardinage; ; Parking; Transfert possible; Petit déjeuner; 16/6/2022; 17/6/2022; -99; 54; 2; 20
Moscou; 6; Chambre; Promener les chiens; ; Wifi, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 29/5/2023; 30/5/2023; -99; 56; 3; 21
Paris; 2; Chambre; Bricolage; Pas d animaux; Blanchissage; Transfert possible; Pension complète; 24/7/2024; 25/7/2024; -99; 62; 2; 22
Strasbourg; 4; Cabane dans un arbre; Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Petit déjeuner; 29/10/2024; 30/10/2024; -99; 83; 1; 23
Draguignan; 2; Cabane dans un arbre; Promener les chiens, Babysitting; Non fumeur; Wifi, Piscine; Pas de transfert; Petit déjeuner; 18/1/2024; 19/1/2024; -99; 70; 3; 24
Marseille; 6; Tente; Babysitting, Donner des cours d anglais; Non fumeur; Wifi, Balade à cheval; Transfert possible; Pension complète; 24/8/2023; 25/8/2023; -99; 80; 1; 25
Marseille; 2; Chambre; Jardinage, Babysitting; ; Wifi, Piscine, Parking; Transfert possible; Petit déjeuner; 6/9/2023; 24/9/2023; -99; 99; 1; 26
Toulouse; 6; Chambre; Bricolage, Promener les chiens; ; Blanchissage, Wifi, Piscine; Transfert possible; Pension complète; 8/4/2022; 27/4/2022; -99; 54; 3; 27
Moscou; 3; Tente; Donner des cours d anglais; ; Piscine, Parking, Balade à cheval; Transfert possible; Pension complète; 26/1/2024; 27/1/2024; -99; 24; 1; 28
Moscou; 5; Tente; Babysitting, Bricolage; Non fumeur, Pas d animaux; Wifi, Parking; Pas de transfert; Demi-pension; 17/12/2022; 27/12/2022; -99; 41; 1; 29
Strasbourg; 5; Chambre; Bricolage; Non fumeur; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Pension complète; 23/11/2022; 24/11/2022; -99; 77; 3; 30
Marseille; 3; Chambre; Donner des cours d anglais, Bricolage; ; Balade à cheval, Blanchissage; Transfert possible; Pension complète; 18/8/2024; 24/8/2024; -99; 45; 1; 31
Strasbourg; 5; Tente; Jardinage, Bricolage; Non fumeur; Parking; Pas de transfert; Petit déjeuner; 26/6/2023; 27/6/2023; -99; 73; 2; 32
Draguignan; 2; Cabane dans un arbre; Bricolage, Babysitting; ; Balade à cheval, Wifi; Pas de transfert; Pension complète; 29/8/2024; 30/8/2024; -99; 94; 1; 33
Berlin; 4; Tente; Donner des cours d anglais, Babysitting; Pas d animaux; Parking, Wifi; Transfert possible; Pension complète; 9/2/2024; 10/2/2024; -99; 22; 2; 34
Berlin; 2; Chambre; Babysitting, Jardinage; Pas d animaux; Wifi; Transfert possible; Pension complète; 8/2/2023; 21/2/2023; -99; 27; 2; 35
Seville; 6; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Piscine, Parking, Balade à cheval; Pas de transfert; Pension complète; 21/10/2022; 22/10/2022; -99; 97; 1; 36
Berlin; 3; Cabane dans un arbre; Promener les chiens, Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval, Piscine, Blanchissage; Transfert possible; Demi-pension; 16/9/2022; 17/9/2022; -99; 96; 3; 37
Toulouse; 2; Tente; Promener les chiens, Babysitting; Non fumeur; Blanchissage, Wifi; Transfert possible; Demi-pension; 16/7/2023; 17/7/2023; -99; 68; 2; 38
Seville; 4; Chambre; Babysitting; ; Wifi; Transfert possible; Petit déjeuner; 19/6/2023; 20/6/2023; -99; 37; 1; 39
Draguignan; 6; Chambre; Promener les chiens, Donner des cours d anglais; Pas d animaux; Piscine; Transfert possible; Demi-pension; 3/3/2024; 13/3/2024; -99; 33; 2; 40
Seville; 2; Tente; Promener les chiens, Babysitting; Non fumeur; Wifi; Transfert possible; Pension complète; 31/5/2022; 32/5/2022; -99; 99; 2; 41
Paris; 2; Cabane dans un arbre; Promener les chiens; ; Blanchissage, Piscine, Wifi; Transfert possible; Pension complète; 11/9/2024; 12/9/2024; -99; 86; 2; 42
Marseille; 4; Chambre; Babysitting, Jardinage; Pas d animaux; Piscine, Blanchissage, Wifi; Transfert possible; Pension complète; 13/7/2024; 14/7/2024; -99; 52; 1; 43
Strasbourg; 6; Tente; Donner des cours d anglais, Bricolage; Pas d animaux; Wifi; Transfert possible; Pension complète; 7/8/2022; 16/8/2022; -99; 10; 3; 44
Draguignan; 6; Chambre; Jardinage, Donner des cours d anglais; Non fumeur; Balade à cheval, Parking, Wifi; Transfert possible; Demi-pension; 19/6/2022; 27/6/2022; -99; 44; 2; 45
Marseille; 3; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Pension complète; 27/7/2023; 28/7/2023; -99; 17; 2; 46
Draguignan; 3; Tente; Bricolage; Pas d animaux, Non fumeur; Blanchissage, Piscine, Parking; Pas de transfert; Petit déjeuner; 9/7/2023; 10/7/2023; -99; 10; 1; 47
Paris; 2; Chambre; Promener les chiens, Jardinage; Pas d animaux, Non fumeur; Wifi, Piscine, Blanchissage; Pas de transfert; Pension complète; 4/2/2023; 5/2/2023; -99; 60; 1; 48
Draguignan; 5; Chambre; Promener les chiens; ; Piscine, Wifi; Pas de transfert; Demi-pension; 26/8/2024; 27/8/2024; -99; 24; 3; 49
Toulouse; 5; Tente; Promener les chiens; Pas d animaux, Non fumeur; Wifi, Parking; Transfert possible; Petit déjeuner; 29/10/2022; 30/10/2022; -99; 55; 3; 50
Seville; 3; Chambre; Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 5/10/2022; 7/10/2022; -99; 51; 1; 51
Marseille; 6; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux; Blanchissage; Transfert possible; Pension complète; 26/9/2023; 27/9/2023; -99; 83; 3; 52
Berlin; 3; Chambre; Bricolage; Pas d animaux, Non fumeur; Wifi; Pas de transfert; Petit déjeuner; 4/12/2024; 5/12/2024; -99; 77; 1; 53
Moscou; 3; Tente; Bricolage; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Petit déjeuner; 22/10/2023; 23/10/2023; -99; 11; 2; 54
Berlin; 6; Tente; Jardinage, Donner des cours d anglais; Non fumeur, Pas d animaux; Parking; Transfert possible; Demi-pension; 29/4/2024; 30/4/2024; -99; 100; 1; 55
Moscou; 6; Tente; Bricolage, Jardinage; ; Parking; Pas de transfert; Petit déjeuner; 20/10/2022; 25/10/2022; -99; 77; 2; 56
Paris; 5; Chambre; Donner des cours d anglais, Bricolage; ; Piscine; Transfert possible; Demi-pension; 2/8/2023; 20/8/2023; -99; 39; 3; 57
Draguignan; 2; Cabane dans un arbre; Babysitting; Non fumeur, Pas d animaux; Parking, Piscine; Pas de transfert; Petit déjeuner; 27/6/2024; 28/6/2024; -99; 42; 3; 58
Seville; 2; Tente; Bricolage; Non fumeur, Pas d animaux; Parking; Transfert possible; Petit déjeuner; 6/2/2024; 15/2/2024; -99; 93; 3; 59
Avignon; 6; Tente; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Parking; Transfert possible; Petit déjeuner; 28/11/2023; 29/11/2023; -99; 84; 3; 60
Seville; 3; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval, Wifi; Transfert possible; Pension complète; 16/12/2023; 18/12/2023; -99; 25; 2; 61
Chartres; 4; Tente; Babysitting; Pas d animaux; Balade à cheval; Transfert possible; Petit déjeuner; 27/7/2024; 28/7/2024; -99; 59; 2; 62
Berlin; 6; Chambre; Donner des cours d anglais, Promener les chiens; ; Wifi; Pas de transfert; Demi-pension; 16/7/2023; 29/7/2023; -99; 3; 2; 63
Strasbourg; 3; Chambre; Jardinage; ; Piscine, Blanchissage; Transfert possible; Demi-pension; 4/5/2023; 10/5/2023; -99; 16; 2; 64
Toulouse; 5; Chambre; Donner des cours d anglais; ; Balade à cheval; Transfert possible; Petit déjeuner; 22/2/2023; 23/2/2023; -99; 39; 3; 65
Moscou; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Balade à cheval, Parking; Transfert possible; Pension complète; 28/6/2024; 29/6/2024; -99; 49; 3; 66
Seville; 3; Chambre; Promener les chiens, Babysitting; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Demi-pension; 3/5/2024; 12/5/2024; -99; 71; 1; 67
Berlin; 4; Cabane dans un arbre; Promener les chiens, Jardinage; Pas d animaux, Non fumeur; Wifi; Pas de transfert; Pension complète; 8/11/2022; 9/11/2022; -99; 73; 1; 68
Chartres; 2; Chambre; Promener les chiens; ; Wifi; Transfert possible; Pension complète; 12/9/2024; 20/9/2024; -99; 40; 2; 69
Paris; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Parking, Balade à cheval; Transfert possible; Pension complète; 15/4/2022; 30/4/2022; -99; 98; 2; 70
Seville; 2; Cabane dans un arbre; Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine, Balade à cheval, Parking; Transfert possible; Demi-pension; 11/3/2023; 24/3/2023; -99; 90; 3; 71
Draguignan; 2; Chambre; Promener les chiens, Jardinage; Pas d animaux; Parking, Wifi, Piscine; Pas de transfert; Pension complète; 20/2/2023; 21/2/2023; -99; 22; 2; 72
Chartres; 6; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage, Wifi, Parking; Transfert possible; Pension complète; 27/10/2022; 28/10/2022; -99; 26; 3; 73
Avignon; 2; Cabane dans un arbre; Promener les chiens; ; Parking, Balade à cheval; Pas de transfert; Pension complète; 13/8/2023; 14/8/2023; -99; 27; 1; 74
Berlin; 2; Chambre; Promener les chiens, Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Piscine; Pas de transfert; Demi-pension; 2/8/2023; 12/8/2023; -99; 76; 2; 75
Marseille; 5; Tente; Bricolage; Pas d animaux, Non fumeur; Parking, Balade à cheval; Transfert possible; Pension complète; 24/7/2024; 25/7/2024; -99; 50; 2; 76
Avignon; 2; Cabane dans un arbre; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Piscine; Transfert possible; Petit déjeuner; 12/8/2022; 13/8/2022; -99; 11; 1; 77
Draguignan; 6; Cabane dans un arbre; Jardinage, Promener les chiens; ; Wifi; Pas de transfert; Demi-pension; 24/9/2022; 25/9/2022; -99; 86; 1; 78
Paris; 5; Tente; Jardinage; Pas d animaux, Non fumeur; Piscine; Transfert possible; Petit déjeuner; 4/12/2023; 6/12/2023; -99; 48; 2; 79
Draguignan; 2; Cabane dans un arbre; Donner des cours d anglais, Bricolage; Pas d animaux, Non fumeur; Parking, Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 19/4/2024; 20/4/2024; -99; 55; 2; 80
Seville; 2; Tente; Promener les chiens, Bricolage; ; Blanchissage; Transfert possible; Petit déjeuner; 16/7/2023; 21/7/2023; -99; 52; 3; 81
Moscou; 2; Tente; Donner des cours d anglais; ; Balade à cheval, Parking, Piscine; Pas de transfert; Demi-pension; 2/6/2022; 23/6/2022; -99; 27; 2; 82
Seville; 6; Chambre; Jardinage; ; Wifi, Blanchissage; Transfert possible; Petit déjeuner; 19/2/2023; 23/2/2023; -99; 45; 3; 83
Paris; 3; Chambre; Babysitting, Jardinage; Non fumeur, Pas d animaux; Blanchissage, Piscine, Wifi; Pas de transfert; Petit déjeuner; 14/11/2024; 31/11/2024; -99; 97; 2; 84
Chartres; 5; Chambre; Jardinage; Pas d animaux; Piscine, Parking, Blanchissage; Pas de transfert; Demi-pension; 15/12/2024; 16/12/2024; -99; 46; 2; 85
Toulouse; 5; Chambre; Promener les chiens, Babysitting; Pas d animaux; Parking, Balade à cheval, Piscine; Transfert possible; Petit déjeuner; 21/7/2022; 22/7/2022; -99; 60; 3; 86
Berlin; 6; Chambre; Promener les chiens; Pas d animaux; Piscine, Parking, Blanchissage; Pas de transfert; Demi-pension; 14/5/2023; 28/5/2023; -99; 96; 1; 87
Berlin; 2; Chambre; Promener les chiens; ; Parking, Wifi; Pas de transfert; Petit déjeuner; 14/5/2022; 15/5/2022; -99; 90; 1; 88
Paris; 5; Tente; Donner des cours d anglais, Promener les chiens; Pas d animaux; Balade à cheval, Piscine; Pas de transfert; Pension complète; 25/4/2024; 29/4/2024; -99; 66; 2; 89
Marseille; 2; Tente; Babysitting, Jardinage; Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 15/11/2023; 24/11/2023; -99; 74; 1; 90
Toulouse; 2; Tente; Babysitting, Donner des cours d anglais; Non fumeur; Parking, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 21/9/2023; 22/9/2023; -99; 31; 3; 91
Moscou; 6; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 11/4/2022; 15/4/2022; -99; 95; 3; 92
Marseille; 2; Chambre; Babysitting, Jardinage; ; Blanchissage; Transfert possible; Petit déjeuner; 5/8/2022; 19/8/2022; -99; 47; 3; 93
Draguignan; 2; Cabane dans un arbre; Babysitting; Pas d animaux, Non fumeur; Wifi, Piscine; Pas de transfert; Pension complète; 25/4/2023; 26/4/2023; -99; 27; 1; 94
Avignon; 3; Chambre; Promener les chiens, Jardinage; ; Piscine, Balade à cheval; Transfert possible; Pension complète; 20/8/2024; 25/8/2024; -99; 16; 2; 95
Berlin; 5; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Balade à cheval; Transfert possible; Demi-pension; 31/7/2023; 32/7/2023; -99; 7; 2; 96
Avignon; 4; Chambre; Babysitting; Pas d animaux; Parking, Wifi, Blanchissage; Transfert possible; Demi-pension; 5/12/2024; 14/12/2024; -99; 10; 3; 97
Strasbourg; 5; Tente; Jardinage; Pas d animaux; Wifi, Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 19/8/2024; 20/8/2024; -99; 92; 1; 98
Marseille; 6; Chambre; Jardinage; Pas d animaux; Blanchissage, Piscine; Pas de transfert; Pension complète; 7/3/2024; 9/3/2024; -99; 84; 1; 99
Moscou; 5; Chambre; Bricolage; Pas d animaux; Piscine; Transfert possible; Demi-pension; 5/11/2024; 12/11/2024; -99; 69; 2; 100
Avignon; 2; Cabane dans un arbre; Jardinage; Pas d animaux; Piscine; Pas de transfert; Demi-pension; 8/8/2024; 31/8/2024; -99; 93; 2; 101
Toulouse; 3; Tente; Jardinage, Promener les chiens; Pas d animaux, Non fumeur; Piscine, Balade à cheval; Transfert possible; Demi-pension; 4/3/2023; 12/3/2023; -99; 95; 2; 102
Toulouse; 2; Chambre; Jardinage; ; Wifi; Pas de transfert; Petit déjeuner; 4/11/2022; 5/11/2022; -99; 82; 3; 103
Berlin; 2; Cabane dans un arbre; Jardinage; Non fumeur; Parking, Piscine; Pas de transfert; Petit déjeuner; 3/7/2022; 8/7/2022; -99; 99; 3; 104
Strasbourg; 3; Cabane dans un arbre; Jardinage; Non fumeur; Blanchissage, Piscine, Parking; Transfert possible; Demi-pension; 11/9/2023; 21/9/2023; -99; 11; 2; 105
Moscou; 5; Cabane dans un arbre; Bricolage; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Demi-pension; 20/1/2024; 21/1/2024; -99; 34; 1; 106
Draguignan; 2; Cabane dans un arbre; Babysitting, Promener les chiens; Pas d animaux; Blanchissage, Balade à cheval, Piscine; Pas de transfert; Pension complète; 6/4/2023; 8/4/2023; -99; 30; 3; 107
Draguignan; 6; Chambre; Babysitting; Pas d animaux; Piscine, Wifi; Pas de transfert; Demi-pension; 5/1/2023; 8/1/2023; -99; 1; 3; 108
Paris; 2; Tente; Bricolage; Non fumeur, Pas d animaux; Blanchissage, Wifi, Piscine; Transfert possible; Demi-pension; 7/8/2022; 18/8/2022; -99; 48; 1; 109
Seville; 2; Chambre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Pension complète; 26/5/2022; 27/5/2022; -99; 97; 2; 110
Draguignan; 4; Tente; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 7/8/2023; 12/8/2023; -99; 98; 2; 111
Chartres; 6; Chambre; Jardinage, Promener les chiens; Non fumeur, Pas d animaux; Parking; Pas de transfert; Pension complète; 14/4/2023; 25/4/2023; -99; 91; 2; 112
Marseille; 4; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Parking, Piscine, Balade à cheval; Transfert possible; Demi-pension; 18/3/2024; 26/3/2024; -99; 74; 2; 113
Avignon; 5; Cabane dans un arbre; Bricolage, Babysitting; ; Parking, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 1/4/2022; 10/4/2022; -99; 66; 3; 114
Paris; 3; Chambre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Parking; Pas de transfert; Petit déjeuner; 26/12/2024; 27/12/2024; -99; 67; 2; 115
Berlin; 6; Chambre; Jardinage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Petit déjeuner; 2/11/2024; 17/11/2024; -99; 28; 2; 116
Moscou; 5; Tente; Promener les chiens, Bricolage; ; Parking, Balade à cheval; Transfert possible; Pension complète; 5/9/2023; 19/9/2023; -99; 1; 2; 117
Avignon; 5; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Parking, Blanchissage; Pas de transfert; Demi-pension; 12/10/2022; 13/10/2022; -99; 9; 1; 118
Avignon; 5; Cabane dans un arbre; Babysitting; ; Parking; Pas de transfert; Demi-pension; 9/4/2024; 10/4/2024; -99; 67; 1; 119
Marseille; 5; Cabane dans un arbre; Jardinage, Babysitting; Non fumeur, Pas d animaux; Balade à cheval, Parking; Transfert possible; Demi-pension; 7/11/2022; 8/11/2022; -99; 5; 2; 120
Seville; 4; Chambre; Jardinage; ; Piscine; Pas de transfert; Demi-pension; 27/8/2024; 28/8/2024; -99; 37; 1; 121
Toulouse; 4; Cabane dans un arbre; Donner des cours d anglais; Non fumeur; Blanchissage, Piscine, Wifi; Pas de transfert; Pension complète; 24/11/2022; 25/11/2022; -99; 86; 1; 122
Toulouse; 6; Chambre; Babysitting; Pas d animaux; Blanchissage; Transfert possible; Pension complète; 10/2/2023; 16/2/2023; -99; 31; 3; 123
Strasbourg; 6; Tente; Jardinage, Promener les chiens; Non fumeur, Pas d animaux; Wifi, Piscine, Balade à cheval; Transfert possible; Demi-pension; 24/1/2024; 25/1/2024; -99; 83; 3; 124
Paris; 3; Tente; Babysitting, Promener les chiens; ; Piscine; Transfert possible; Pension complète; 25/10/2022; 26/10/2022; -99; 36; 1; 125
Paris; 2; Tente; Jardinage; ; Blanchissage, Balade à cheval, Parking; Transfert possible; Demi-pension; 26/6/2023; 27/6/2023; -99; 44; 2; 126
Avignon; 3; Chambre; Jardinage; ; Blanchissage; Transfert possible; Demi-pension; 6/4/2024; 7/4/2024; -99; 12; 2; 127
Paris; 4; Cabane dans un arbre; Jardinage; ; Wifi, Blanchissage, Piscine; Pas de transfert; Pension complète; 2/7/2023; 21/7/2023; -99; 26; 2; 128
Avignon; 4; Tente; Jardinage; ; Balade à cheval; Pas de transfert; Demi-pension; 3/6/2024; 18/6/2024; -99; 7; 1; 129
Toulouse; 5; Chambre; Jardinage, Babysitting; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Demi-pension; 18/8/2024; 27/8/2024; -99; 96; 1; 130
Chartres; 4; Tente; Promener les chiens, Babysitting; ; Piscine; Pas de transfert; Petit déjeuner; 31/10/2023; 32/10/2023; -99; 63; 2; 131
Seville; 3; Tente; Donner des cours d anglais; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 3/10/2023; 10/10/2023; -99; 89; 3; 132
Strasbourg; 4; Chambre; Babysitting, Bricolage; ; Piscine, Blanchissage; Pas de transfert; Pension complète; 16/4/2024; 17/4/2024; -99; 21; 1; 133
Avignon; 2; Cabane dans un arbre; Promener les chiens, Jardinage; Non fumeur, Pas d animaux; Parking, Piscine, Wifi; Pas de transfert; Petit déjeuner; 12/5/2022; 18/5/2022; -99; 77; 3; 134
Strasbourg; 4; Tente; Babysitting; Non fumeur; Wifi; Pas de transfert; Pension complète; 21/11/2023; 22/11/2023; -99; 48; 2; 135
Chartres; 4; Chambre; Jardinage, Donner des cours d anglais; Non fumeur; Blanchissage; Pas de transfert; Demi-pension; 13/2/2024; 23/2/2024; -99; 69; 2; 136
Marseille; 5; Tente; Bricolage; ; Balade à cheval, Wifi, Piscine; Transfert possible; Pension complète; 8/5/2022; 12/5/2022; -99; 60; 1; 137
Chartres; 6; Chambre; Promener les chiens, Donner des cours d anglais; Non fumeur; Wifi; Pas de transfert; Demi-pension; 11/5/2022; 31/5/2022; -99; 81; 2; 138
Seville; 2; Tente; Babysitting, Promener les chiens; ; Wifi, Piscine; Pas de transfert; Pension complète; 28/5/2022; 29/5/2022; -99; 23; 2; 139
Strasbourg; 4; Cabane dans un arbre; Jardinage; ; Piscine, Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 14/10/2022; 30/10/2022; -99; 20; 1; 140
Draguignan; 6; Tente; Donner des cours d anglais; Pas d animaux; Piscine; Pas de transfert; Demi-pension; 21/4/2024; 24/4/2024; -99; 51; 2; 141
Chartres; 6; Cabane dans un arbre; Jardinage; Non fumeur, Pas d animaux; Balade à cheval, Parking, Wifi; Pas de transfert; Petit déjeuner; 9/6/2022; 22/6/2022; -99; 100; 2; 142
Draguignan; 3; Tente; Jardinage; Pas d animaux; Blanchissage, Piscine; Transfert possible; Demi-pension; 16/9/2024; 17/9/2024; -99; 87; 1; 143
Toulouse; 4; Tente; Babysitting, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Demi-pension; 2/7/2024; 21/7/2024; -99; 46; 1; 144
Berlin; 6; Tente; Babysitting, Jardinage; Pas d animaux; Piscine, Parking, Wifi; Pas de transfert; Demi-pension; 18/2/2024; 19/2/2024; -99; 6; 3; 145
Moscou; 5; Cabane dans un arbre; Promener les chiens; ; Parking, Wifi, Balade à cheval; Transfert possible; Demi-pension; 21/10/2022; 22/10/2022; -99; 20; 2; 146
Paris; 2; Cabane dans un arbre; Babysitting; Non fumeur, Pas d animaux; Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 23/11/2022; 24/11/2022; -99; 7; 1; 147
Draguignan; 4; Tente; Jardinage; Pas d animaux, Non fumeur; Blanchissage; Transfert possible; Pension complète; 26/4/2024; 28/4/2024; -99; 91; 1; 148
Draguignan; 3; Chambre; Jardinage; ; Piscine; Transfert possible; Petit déjeuner; 29/9/2023; 30/9/2023; -99; 96; 1; 149
Paris; 4; Tente; Babysitting, Promener les chiens; ; Wifi, Balade à cheval, Blanchissage; Pas de transfert; Petit déjeuner; 13/10/2022; 14/10/2022; -99; 17; 3; 150
Paris; 4; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 22/10/2023; 23/10/2023; -99; 54; 1; 151
Chartres; 6; Tente; Babysitting, Jardinage; ; Blanchissage, Parking, Piscine; Transfert possible; Petit déjeuner; 14/11/2022; 22/11/2022; -99; 5; 2; 152
Berlin; 3; Tente; Babysitting; Non fumeur; Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 17/3/2024; 18/3/2024; -99; 92; 1; 153
Marseille; 4; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Parking, Balade à cheval, Wifi; Pas de transfert; Petit déjeuner; 23/4/2022; 24/4/2022; -99; 69; 1; 154
Toulouse; 3; Chambre; Bricolage, Promener les chiens; Pas d animaux; Balade à cheval, Parking, Wifi; Pas de transfert; Demi-pension; 4/7/2024; 25/7/2024; -99; 56; 1; 155
Strasbourg; 4; Tente; Bricolage; Pas d animaux; Parking, Balade à cheval, Wifi; Pas de transfert; Demi-pension; 16/11/2023; 17/11/2023; -99; 64; 3; 156
Marseille; 3; Tente; Promener les chiens; ; Blanchissage, Balade à cheval; Pas de transfert; Pension complète; 7/10/2022; 9/10/2022; -99; 23; 3; 157
Avignon; 5; Chambre; Jardinage; ; Parking, Blanchissage; Transfert possible; Demi-pension; 27/10/2024; 28/10/2024; -99; 23; 3; 158
