Paris;5;Tente;Jardinage;Non fumeur, Pas d animaux;Balade � cheval, Piscine;Transfert possible;Demi-pension;2022-02-15;2022-02-16
Draguignan;4;Chambre;Promener les chiens;Non fumeur, Pas d animaux;Wifi;Transfert possible;Demi-pension;2022-10-07;2022-10-17
Draguignan;3;Tente;Donner des cours d anglais, Babysitting;Non fumeur;Piscine, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-08-16;2022-08-26
Berlin;6;Chambre;Bricolage, Babysitting;;Parking, Piscine, Wifi;Transfert possible;Demi-pension;2022-01-02;2022-01-13
Marseille;4;Chambre;Promener les chiens, Donner des cours d anglais;;Piscine, Balade � cheval;Transfert possible;Petit d�jeuner;2022-10-26;2022-10-30
Strasbourg;2;Cabane dans un arbre;Babysitting, Bricolage;Non fumeur, Pas d animaux;Blanchissage, Parking;Transfert possible;Pension compl�te;2022-10-25;2022-10-26
Seville;3;Cabane dans un arbre;Promener les chiens, Babysitting;;Parking, Balade � cheval, Wifi;Transfert possible;Petit d�jeuner;2022-05-04;2022-05-11
Paris;6;Cabane dans un arbre;Jardinage, Promener les chiens;;Piscine, Wifi, Blanchissage;Transfert possible;Petit d�jeuner;2022-12-21;2022-12-24
Marseille;2;Chambre;Babysitting, Donner des cours d anglais;;Balade � cheval, Wifi;Transfert possible;Pension compl�te;2022-08-23;2022-08-24
Toulouse;4;Chambre;Babysitting, Donner des cours d anglais;Pas d animaux;Balade � cheval, Wifi, Blanchissage;Pas de transfert;Pension compl�te;2022-10-01;2022-10-20
Marseille;6;Tente;Promener les chiens;;Wifi, Blanchissage, Balade � cheval;Pas de transfert;Demi-pension;2022-07-12;2022-07-13
Moscou;2;Cabane dans un arbre;Promener les chiens, Donner des cours d anglais;Non fumeur;Wifi;Transfert possible;Demi-pension;2022-05-06;2022-05-26
Avignon;6;Tente;Promener les chiens, Bricolage;Non fumeur;Piscine, Balade � cheval, Wifi;Pas de transfert;Demi-pension;2022-02-09;2022-02-10
Berlin;2;Cabane dans un arbre;Bricolage;Non fumeur;Parking, Blanchissage;Pas de transfert;Petit d�jeuner;2022-03-29;2022-03-30
Chartres;2;Tente;Babysitting;Pas d animaux, Non fumeur;Piscine, Parking, Wifi;Transfert possible;Petit d�jeuner;2022-07-04;2022-07-05
Avignon;4;Cabane dans un arbre;Jardinage;Non fumeur;Balade � cheval;Transfert possible;Demi-pension;2022-07-24;2022-07-25
Strasbourg;3;Chambre;Babysitting;Non fumeur;Balade � cheval, Blanchissage, Piscine;Transfert possible;Demi-pension;2022-09-17;2022-09-23
Marseille;2;Cabane dans un arbre;Babysitting, Bricolage;Non fumeur, Pas d animaux;Blanchissage;Pas de transfert;Demi-pension;2022-10-05;2022-10-26
Marseille;5;Tente;Donner des cours d anglais;;Piscine, Wifi, Parking;Pas de transfert;Pension compl�te;2022-04-14;2022-04-24
Berlin;3;Chambre;Babysitting, Donner des cours d anglais;Pas d animaux;Balade � cheval, Parking, Piscine;Transfert possible;Petit d�jeuner;2022-05-21;2022-05-22
Chartres;3;Chambre;Bricolage;;Piscine, Parking, Blanchissage;Transfert possible;Petit d�jeuner;2022-01-25;2022-01-26
Toulouse;4;Tente;Bricolage, Babysitting;;Blanchissage;Pas de transfert;Pension compl�te;2022-01-07;2022-01-19
Toulouse;3;Cabane dans un arbre;Jardinage;Pas d animaux, Non fumeur;Piscine, Blanchissage, Parking;Pas de transfert;Petit d�jeuner;2022-05-11;2022-05-27
Chartres;6;Tente;Jardinage, Promener les chiens;Non fumeur;Blanchissage, Parking;Transfert possible;Demi-pension;2022-07-25;2022-07-26
Berlin;5;Cabane dans un arbre;Donner des cours d anglais, Jardinage;Pas d animaux, Non fumeur;Wifi;Pas de transfert;Demi-pension;2022-11-20;2022-11-26
Berlin;2;Cabane dans un arbre;Babysitting;Non fumeur, Pas d animaux;Wifi;Pas de transfert;Petit d�jeuner;2022-06-05;2022-06-14
Paris;4;Chambre;Babysitting, Bricolage;Non fumeur, Pas d animaux;Parking, Balade � cheval;Transfert possible;Petit d�jeuner;2022-10-09;2022-10-22
Moscou;5;Cabane dans un arbre;Babysitting, Promener les chiens;;Blanchissage, Balade � cheval;Pas de transfert;Demi-pension;2022-07-07;2022-07-08
Strasbourg;2;Cabane dans un arbre;Donner des cours d anglais, Jardinage;Non fumeur;Blanchissage;Transfert possible;Pension compl�te;2022-10-27;2022-10-30
Strasbourg;2;Tente;Babysitting, Bricolage;;Parking, Wifi;Transfert possible;Pension compl�te;2022-04-18;2022-04-26
Chartres;6;Chambre;Jardinage, Promener les chiens;;Blanchissage, Balade � cheval;Pas de transfert;Demi-pension;2022-04-10;2022-04-19
Moscou;4;Cabane dans un arbre;Babysitting;;Blanchissage, Balade � cheval, Parking;Pas de transfert;Petit d�jeuner;2022-04-11;2022-04-14
Avignon;6;Cabane dans un arbre;Bricolage;;Balade � cheval, Parking;Pas de transfert;Pension compl�te;2022-07-07;2022-07-17
Toulouse;6;Chambre;Promener les chiens;;Wifi;Transfert possible;Pension compl�te;2022-08-25;2022-08-26
Marseille;6;Tente;Bricolage, Jardinage;Non fumeur;Parking, Wifi;Pas de transfert;Petit d�jeuner;2022-04-12;2022-04-13
Berlin;4;Chambre;Bricolage;Non fumeur;Balade � cheval;Transfert possible;Pension compl�te;2022-01-19;2022-01-31
Toulouse;5;Chambre;Bricolage;Pas d animaux, Non fumeur;Blanchissage;Transfert possible;Petit d�jeuner;2022-06-13;2022-06-18
Seville;3;Chambre;Bricolage, Donner des cours d anglais;Pas d animaux, Non fumeur;Parking, Wifi;Transfert possible;Petit d�jeuner;2022-07-11;2022-07-21
Moscou;6;Tente;Promener les chiens, Bricolage;Pas d animaux;Blanchissage, Parking;Transfert possible;Pension compl�te;2022-06-24;2022-06-25
Paris;5;Chambre;Donner des cours d anglais, Jardinage;Non fumeur;Balade � cheval, Parking;Transfert possible;Petit d�jeuner;2022-02-17;2022-02-18
Draguignan;3;Tente;Babysitting, Donner des cours d anglais;;Piscine, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-12-27;2022-12-28
Avignon;5;Cabane dans un arbre;Jardinage, Donner des cours d anglais;;Parking, Balade � cheval, Blanchissage;Transfert possible;Pension compl�te;2022-04-28;2022-04-29
Strasbourg;6;Cabane dans un arbre;Promener les chiens, Jardinage;Pas d animaux;Balade � cheval, Piscine;Transfert possible;Pension compl�te;2022-04-04;2022-04-26
Draguignan;5;Cabane dans un arbre;Bricolage, Jardinage;Non fumeur;Piscine, Wifi, Balade � cheval;Transfert possible;Petit d�jeuner;2022-06-03;2022-06-25
Moscou;4;Chambre;Babysitting, Bricolage;;Blanchissage, Wifi, Balade � cheval;Pas de transfert;Demi-pension;2022-04-15;2022-04-17
Avignon;5;Cabane dans un arbre;Promener les chiens, Babysitting;Pas d animaux;Balade � cheval, Blanchissage, Piscine;Transfert possible;Demi-pension;2022-03-18;2022-03-19
Strasbourg;6;Cabane dans un arbre;Donner des cours d anglais;;Parking, Blanchissage, Wifi;Transfert possible;Petit d�jeuner;2022-12-29;2022-12-30
Seville;4;Chambre;Jardinage;;Piscine, Blanchissage, Wifi;Transfert possible;Petit d�jeuner;2022-03-08;2022-03-09
Marseille;6;Chambre;Bricolage;Non fumeur, Pas d animaux;Piscine, Blanchissage, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-03-16;2022-03-27
Moscou;2;Tente;Jardinage, Donner des cours d anglais;;Balade � cheval, Parking;Transfert possible;Demi-pension;2022-07-26;2022-07-27
Draguignan;4;Chambre;Donner des cours d anglais;Non fumeur, Pas d animaux;Wifi, Parking, Balade � cheval;Transfert possible;Pension compl�te;2022-08-07;2022-08-18
Paris;6;Cabane dans un arbre;Bricolage, Babysitting;Pas d animaux;Wifi, Balade � cheval;Transfert possible;Pension compl�te;2022-09-30;2022-10-31
Chartres;5;Cabane dans un arbre;Donner des cours d anglais, Bricolage;;Blanchissage, Balade � cheval;Pas de transfert;Demi-pension;2022-09-16;2022-09-17
Paris;5;Tente;Jardinage;Non fumeur, Pas d animaux;Piscine, Parking;Pas de transfert;Petit d�jeuner;2022-11-06;2022-11-14
Avignon;4;Tente;Jardinage, Promener les chiens;Pas d animaux;Parking, Piscine, Blanchissage;Transfert possible;Pension compl�te;2022-07-22;2022-07-23
Berlin;5;Cabane dans un arbre;Donner des cours d anglais, Jardinage;;Parking, Piscine, Wifi;Transfert possible;Petit d�jeuner;2022-07-11;2022-07-16
Draguignan;4;Cabane dans un arbre;Bricolage;Non fumeur, Pas d animaux;Piscine, Blanchissage, Balade � cheval;Pas de transfert;Petit d�jeuner;2022-07-31;2022-07-31
Chartres;3;Cabane dans un arbre;Promener les chiens, Jardinage;;Wifi, Blanchissage, Parking;Transfert possible;Petit d�jeuner;2022-12-09;2022-12-16
Seville;6;Cabane dans un arbre;Jardinage, Bricolage;;Wifi;Transfert possible;Petit d�jeuner;2022-12-09;2022-12-23
Strasbourg;4;Tente;Jardinage, Promener les chiens;Non fumeur;Piscine;Pas de transfert;Demi-pension;2022-02-12;2022-02-27
Toulouse;4;Chambre;Promener les chiens, Babysitting;Pas d animaux;Balade � cheval, Wifi, Blanchissage;Transfert possible;Petit d�jeuner;2022-11-11;2022-11-14
Avignon;4;Cabane dans un arbre;Jardinage;Pas d animaux, Non fumeur;Parking, Balade � cheval, Wifi;Transfert possible;Petit d�jeuner;2022-10-19;2022-10-20
Strasbourg;3;Cabane dans un arbre;Donner des cours d anglais;Pas d animaux, Non fumeur;Parking, Balade � cheval, Blanchissage;Transfert possible;Pension compl�te;2022-05-20;2022-05-21
Moscou;4;Tente;Babysitting;Pas d animaux, Non fumeur;Piscine, Parking;Transfert possible;Pension compl�te;2022-01-27;2022-01-28
Seville;6;Tente;Promener les chiens;Pas d animaux, Non fumeur;Blanchissage, Wifi, Parking;Pas de transfert;Demi-pension;2022-06-05;2022-06-21
Marseille;4;Chambre;Jardinage, Promener les chiens;Non fumeur;Blanchissage;Pas de transfert;Petit d�jeuner;2022-02-22;2022-02-26
Moscou;2;Chambre;Donner des cours d anglais;Pas d animaux;Blanchissage, Wifi, Balade � cheval;Transfert possible;Pension compl�te;2022-01-06;2022-01-19
Avignon;2;Cabane dans un arbre;Bricolage, Donner des cours d anglais;Pas d animaux, Non fumeur;Wifi;Pas de transfert;Petit d�jeuner;2022-07-10;2022-07-11
Strasbourg;2;Chambre;Bricolage;Non fumeur;Parking;Pas de transfert;Pension compl�te;2022-06-21;2022-06-26
Moscou;3;Chambre;Donner des cours d anglais, Jardinage;Pas d animaux;Wifi;Transfert possible;Demi-pension;2022-05-12;2022-05-31
Marseille;3;Cabane dans un arbre;Jardinage;Pas d animaux, Non fumeur;Piscine, Parking, Wifi;Transfert possible;Demi-pension;2022-04-17;2022-04-24
Paris;2;Tente;Donner des cours d anglais;Non fumeur, Pas d animaux;Blanchissage, Wifi;Pas de transfert;Demi-pension;2022-07-25;2022-07-26
Strasbourg;4;Chambre;Bricolage, Promener les chiens;Non fumeur;Balade � cheval;Transfert possible;Pension compl�te;2022-06-24;2022-06-25
Paris;5;Tente;Donner des cours d anglais, Bricolage;Pas d animaux;Wifi, Piscine, Blanchissage;Transfert possible;Demi-pension;2022-08-15;2022-08-16
Toulouse;2;Cabane dans un arbre;Babysitting, Promener les chiens;;Wifi, Balade � cheval, Blanchissage;Transfert possible;Petit d�jeuner;2022-04-21;2022-04-29
Marseille;3;Tente;Bricolage, Promener les chiens;Pas d animaux;Blanchissage;Pas de transfert;Petit d�jeuner;2022-06-20;2022-06-21
Paris;5;Tente;Babysitting, Donner des cours d anglais;Pas d animaux;Balade � cheval, Piscine, Wifi;Pas de transfert;Pension compl�te;2022-10-11;2022-10-13
Berlin;4;Chambre;Jardinage, Bricolage;;Blanchissage, Parking;Pas de transfert;Pension compl�te;2022-12-16;2022-12-28
Berlin;2;Tente;Bricolage;Non fumeur;Parking, Piscine, Balade � cheval;Transfert possible;Pension compl�te;2022-12-23;2022-12-24
Marseille;5;Tente;Jardinage, Promener les chiens;;Blanchissage, Parking, Balade � cheval;Transfert possible;Demi-pension;2022-04-19;2022-04-20
Berlin;2;Chambre;Jardinage;Non fumeur, Pas d animaux;Blanchissage, Piscine;Transfert possible;Petit d�jeuner;2022-06-09;2022-06-27
Marseille;3;Cabane dans un arbre;Jardinage;;Blanchissage, Parking, Piscine;Transfert possible;Demi-pension;2022-01-20;2022-01-21
Moscou;4;Tente;Jardinage;Non fumeur, Pas d animaux;Piscine, Balade � cheval, Blanchissage;Transfert possible;Pension compl�te;2022-07-17;2022-07-21
Avignon;4;Cabane dans un arbre;Babysitting, Promener les chiens;;Blanchissage, Piscine;Transfert possible;Pension compl�te;2022-08-05;2022-08-12
Toulouse;6;Cabane dans un arbre;Donner des cours d anglais;;Balade � cheval, Wifi;Pas de transfert;Demi-pension;2022-04-12;2022-04-21
Chartres;2;Cabane dans un arbre;Babysitting;Non fumeur;Parking, Balade � cheval;Transfert possible;Pension compl�te;2022-01-19;2022-01-20
Toulouse;4;Chambre;Babysitting;;Balade � cheval, Blanchissage;Transfert possible;Petit d�jeuner;2022-11-19;2022-11-23
Strasbourg;4;Chambre;Bricolage, Promener les chiens;Non fumeur, Pas d animaux;Balade � cheval, Parking;Pas de transfert;Demi-pension;2022-02-10;2022-02-19
Paris;5;Tente;Jardinage, Donner des cours d anglais;Pas d animaux, Non fumeur;Parking;Pas de transfert;Petit d�jeuner;2022-11-08;2022-11-28
Berlin;2;Tente;Donner des cours d anglais, Bricolage;Pas d animaux;Wifi;Transfert possible;Petit d�jeuner;2022-03-14;2022-03-27
Moscou;5;Cabane dans un arbre;Donner des cours d anglais, Promener les chiens;Pas d animaux;Balade � cheval, Piscine, Blanchissage;Transfert possible;Pension compl�te;2022-08-19;2022-08-20
Paris;3;Cabane dans un arbre;Promener les chiens;;Balade � cheval, Piscine, Blanchissage;Transfert possible;Petit d�jeuner;2022-03-11;2022-03-25
Chartres;4;Tente;Babysitting;Non fumeur;Balade � cheval, Blanchissage, Wifi;Transfert possible;Petit d�jeuner;2022-08-29;2022-08-30
Strasbourg;6;Chambre;Babysitting;;Piscine, Blanchissage;Pas de transfert;Pension compl�te;2022-11-03;2022-11-27
Strasbourg;2;Chambre;Donner des cours d anglais, Babysitting;;Wifi, Balade � cheval, Parking;Pas de transfert;Demi-pension;2022-06-21;2022-06-22
Draguignan;4;Chambre;Bricolage, Promener les chiens;;Piscine, Wifi, Blanchissage;Pas de transfert;Demi-pension;2022-04-15;2022-04-17
Moscou;3;Tente;Bricolage, Jardinage;;Blanchissage;Pas de transfert;Petit d�jeuner;2022-03-17;2022-03-20
Seville;3;Chambre;Donner des cours d anglais, Jardinage;Non fumeur, Pas d animaux;Blanchissage;Pas de transfert;Pension compl�te;2022-12-14;2022-12-27
Marseille;5;Chambre;Donner des cours d anglais, Bricolage;;Parking, Piscine, Wifi;Pas de transfert;Demi-pension;2022-08-22;2022-08-23
Berlin;4;Tente;Babysitting;;Parking, Piscine;Transfert possible;Pension compl�te;2022-07-26;2022-07-28
Paris;3;Cabane dans un arbre;Jardinage;Non fumeur;Blanchissage, Balade � cheval;Transfert possible;Demi-pension;2022-11-20;2022-11-21
Marseille;5;Tente;Bricolage, Jardinage;Pas d animaux, Non fumeur;Balade � cheval, Parking, Blanchissage;Pas de transfert;Pension compl�te;2022-05-21;2022-05-26
Seville;6;Cabane dans un arbre;Jardinage;Pas d animaux;Wifi, Blanchissage;Transfert possible;Petit d�jeuner;2022-06-05;2022-06-26
Chartres;6;Cabane dans un arbre;Jardinage, Donner des cours d anglais;Pas d animaux, Non fumeur;Blanchissage;Transfert possible;Pension compl�te;2022-11-15;2022-11-19
Berlin;2;Tente;Promener les chiens, Bricolage;Non fumeur;Parking, Balade � cheval;Pas de transfert;Demi-pension;2022-08-15;2022-08-16
Paris;6;Chambre;Jardinage, Promener les chiens;;Piscine, Wifi;Pas de transfert;Demi-pension;2022-05-16;2022-05-17
Marseille;2;Cabane dans un arbre;Donner des cours d anglais, Bricolage;;Wifi;Transfert possible;Demi-pension;2022-05-20;2022-05-21
Chartres;6;Chambre;Jardinage;Non fumeur, Pas d animaux;Wifi, Balade � cheval;Transfert possible;Demi-pension;2022-02-14;2022-02-17
Moscou;3;Tente;Jardinage, Donner des cours d anglais;;Parking, Wifi;Pas de transfert;Demi-pension;2022-11-22;2022-11-28
Avignon;3;Chambre;Babysitting, Jardinage;;Piscine, Wifi;Pas de transfert;Pension compl�te;2022-09-24;2022-09-25
Draguignan;5;Chambre;Bricolage, Promener les chiens;Non fumeur, Pas d animaux;Balade � cheval;Pas de transfert;Pension compl�te;2022-06-24;2022-06-25
Toulouse;3;Tente;Donner des cours d anglais;Non fumeur;Balade � cheval;Transfert possible;Petit d�jeuner;2022-01-09;2022-01-21
Avignon;4;Tente;Promener les chiens, Babysitting;Pas d animaux;Balade � cheval, Wifi, Piscine;Pas de transfert;Petit d�jeuner;2022-07-15;2022-07-31
Seville;2;Tente;Donner des cours d anglais;Pas d animaux, Non fumeur;Parking;Pas de transfert;Pension compl�te;2022-02-18;2022-02-19
Seville;2;Cabane dans un arbre;Donner des cours d anglais, Jardinage;Non fumeur, Pas d animaux;Parking;Transfert possible;Pension compl�te;2022-06-26;2022-06-27
Seville;4;Tente;Bricolage, Donner des cours d anglais;Non fumeur, Pas d animaux;Wifi;Pas de transfert;Pension compl�te;2022-03-02;2022-03-28
Chartres;2;Tente;Bricolage;;Parking, Blanchissage, Wifi;Pas de transfert;Petit d�jeuner;2022-12-22;2022-12-23
Chartres;2;Chambre;Bricolage;;Piscine;Transfert possible;Pension compl�te;2022-07-22;2022-07-23
Avignon;4;Cabane dans un arbre;Donner des cours d anglais, Babysitting;;Parking;Pas de transfert;Petit d�jeuner;2022-03-21;2022-03-26
Paris;5;Chambre;Babysitting;;Blanchissage;Pas de transfert;Petit d�jeuner;2022-06-15;2022-06-16
Draguignan;6;Chambre;Donner des cours d anglais;;Piscine, Balade � cheval;Pas de transfert;Pension compl�te;2022-05-24;2022-05-25
Paris;2;Chambre;Jardinage;Non fumeur;Balade � cheval;Transfert possible;Demi-pension;2022-12-10;2022-12-17
Strasbourg;2;Cabane dans un arbre;Donner des cours d anglais, Babysitting;Non fumeur;Balade � cheval, Blanchissage, Parking;Transfert possible;Petit d�jeuner;2022-01-24;2022-01-25
Moscou;6;Chambre;Babysitting;Non fumeur, Pas d animaux;Piscine;Transfert possible;Petit d�jeuner;2022-10-10;2022-10-11
Marseille;6;Cabane dans un arbre;Babysitting, Jardinage;;Parking, Balade � cheval, Piscine;Transfert possible;Demi-pension;2022-07-22;2022-07-23
Strasbourg;3;Cabane dans un arbre;Babysitting, Donner des cours d anglais;Pas d animaux;Blanchissage, Wifi;Transfert possible;Petit d�jeuner;2022-09-12;2022-09-13
Chartres;3;Tente;Babysitting, Promener les chiens;Non fumeur;Blanchissage, Balade � cheval, Wifi;Pas de transfert;Demi-pension;2022-11-13;2022-11-14
Draguignan;6;Chambre;Babysitting;Pas d animaux, Non fumeur;Piscine, Balade � cheval;Transfert possible;Pension compl�te;2022-10-18;2022-10-19
Chartres;6;Chambre;Promener les chiens, Donner des cours d anglais;Non fumeur;Piscine, Balade � cheval;Transfert possible;Demi-pension;2022-06-09;2022-06-10
Avignon;3;Cabane dans un arbre;Jardinage, Donner des cours d anglais;Pas d animaux, Non fumeur;Wifi, Piscine;Pas de transfert;Petit d�jeuner;2022-06-06;2022-06-08
Marseille;5;Tente;Bricolage, Donner des cours d anglais;Pas d animaux;Wifi, Piscine;Pas de transfert;Demi-pension;2022-06-05;2022-06-17
Avignon;5;Cabane dans un arbre;Babysitting, Bricolage;;Blanchissage, Balade � cheval, Piscine;Pas de transfert;Pension compl�te;2022-06-14;2022-06-25
Strasbourg;4;Cabane dans un arbre;Bricolage, Babysitting;;Balade � cheval;Pas de transfert;Demi-pension;2022-11-06;2022-11-20
